,Global Rank,Institution,Country,Sector
0,1,Chinese Academy of Sciences *,CHN,Government
1,2,Ministry of Education of the People's Republic of China,CHN,Government
2,3,Centre National de la Recherche Scientifique *,FRA,Government
3,4,University of Chinese Academy of Sciences,CHN,Universities
4,5,Microsoft Corp *,MUL,Companies
5,6,Tsinghua University *,CHN,Universities
6,7,Zhejiang University *,CHN,Universities
7,8,National Institutes of Health,USA,Health
8,9,Dana Farber Cancer Institute ,USA,Health
9,10,Russian Academy of Sciences *,RUS,Government
10,11,Consejo Superior de Investigaciones Cientificas *,ESP,Government
11,12,Massachusetts Institute of Technology *,USA,Universities
12,12,Tianjin University *,CHN,Universities
13,13,Helmholtz Gemeinschaft *,DEU,Government
14,14,Harvard University *,USA,Universities
15,15,Vancouver Prostate Centre,CAN,Health
16,16,Max Planck Gesellschaft *,DEU,Government
17,17,Alphabet Inc *,MUL,Companies
18,18,Broad Institute of MIT and Harvard,USA,Health
19,19,Roswell Park Cancer Institute,USA,Health
20,20,South China University of Technology,CHN,Universities
21,21,Jackson Laboratory,USA,Health
22,22,Scripps Research Institute,USA,Health
23,23,Canadian Institute for Advance Research,CAN,Government
24,24,Samsung Corp *,MUL,Companies
25,24,Genome Institute of Singapore,SGP,Government
26,25,Quchan University of Technology,IRN,Universities
27,26,National Institute of Biomedical Imaging and Bioengineering,USA,Health
28,27,Peter Maccallum Cancer Centre,AUS,Health
29,28,Peking University *,CHN,Universities
30,29,Stanford University *,USA,Universities
31,30,IBM United States,USA,Companies
32,31,Brigham and Women's Hospital,USA,Health
33,32,Simons Foundation,USA,Non-Profit
34,33,Fred Hutchinson Cancer Research Center,USA,Health
35,34,Children's Hospital Boston  *,USA,Health
36,35,Lawrence Berkeley National Laboratory *,USA,Government
37,36,Emory Healthcare,USA,Health
38,37,Toronto General Hospital,CAN,Health
39,38,"University of California, Berkeley *",USA,Universities
40,39,Howard Hughes Medical Institute *,USA,Health
41,40,University of Science and Technology of China,CHN,Universities
42,41,Nankai University *,CHN,Universities
43,42,"Bayer AG, Germany",DEU,Companies
44,43,Harvard-Smithsonian Center for Astrophysics,USA,Government
45,43,IBM Research *,MUL,Companies
46,44,National University of Singapore *,SGP,Universities
47,45,SLAC National Accelerator Laboratory,USA,Government
48,45,Institute of Cancer Research,GBR,Health
49,46,National University Health System *,SGP,Health
50,46,Shanghai Jiao Tong University *,CHN,Universities
51,47,"Samsung Electronics, South Korea",KOR,Companies
52,48,Institute of Genetics and Developmental Biology Chinese Academy of Sciences,CHN,Government
53,49,Jilin University *,CHN,Universities
54,50,Sanford Burnham Prebys Medical Discovery Institute,USA,Health
55,51,State Grid Corporation of China *,CHN,Companies
56,52,Sichuan University *,CHN,Universities
57,53,University of Oxford,GBR,Universities
58,54,Harvard Medical School,USA,Universities
59,55,"Takeda Pharmaceuticals International Inc, USA",USA,Companies
60,56,University of Texas M.D. Anderson Cancer Center ,USA,Health
61,57,Cold Spring Harbor Laboratory,USA,Health
62,58,Max Planck Institut fur Biochemie,DEU,Government
63,59,University of Cambridge *,GBR,Universities
64,59,"Hoffmann-La Roche Ltd, United States",USA,Companies
65,60,Xi'an Jiaotong University *,CHN,Universities
66,61,"Northwestern University, Evanston *",USA,Universities
67,61,Harbin Institute of Technology,CHN,Universities
68,62,Nanyang Technological University *,SGP,Universities
69,63,LG Corporation *,MUL,Companies
70,64,Huazhong University of Science and Technology *,CHN,Universities
71,65,Toyota Group *,MUL,Companies
72,66,Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,DEU,Non-Profit
73,66,Hospital Universitario 12 de Octubre,ESP,Health
74,67,VA San Diego Healthcare System,USA,Health
75,67,Genentech Inc,USA,Companies
76,68,Consiglio Nazionale delle Ricerche *,ITA,Government
77,69,Cambridge University Hospitals NHS Foundation Trust,GBR,Health
78,70,Memorial Sloan-Kettering Cancer Center,USA,Health
79,71,University of Massachusetts Medical School,USA,Universities
80,72,Alfred Wegener Institut fur Polar und Meeresforschung,DEU,Government
81,73,European Bioinformatics Institute EMBL,GBR,Government
82,74,"Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences",CHN,Government
83,75,Cancer Research UK,GBR,Health
84,76,California Institute of Technology *,USA,Universities
85,77,"Novartis Institutes for Biomedical Research, United States",USA,Companies
86,78,National Renewable Energy Laboratory,USA,Government
87,79,Fudan University *,CHN,Universities
88,80,King Abdullah University of Science and Technology,SAU,Universities
89,80,"Soochow University, Suzhou *",CHN,Universities
90,81,F Hoffmann-La Roche *,MUL,Companies
91,82,"Aramco Services Co, United States",USA,Companies
92,83,BMW Group *,MUL,Companies
93,84,Beijing National Laboratory for Molecular Sciences,CHN,Government
94,85,"BMW AG, Germany",DEU,Companies
95,86,European Molecular Biology Laboratory Heidelberg,DEU,Government
96,87,University of Virginia Health System,USA,Health
97,87,National Cancer Institute,USA,Health
98,88,Medical Research Council,GBR,Health
99,89,Wuhan University *,CHN,Universities
100,90,Nanjing University *,CHN,Universities
101,90,Sun Yat-Sen University *,CHN,Universities
102,90,"Institute of Chemistry, Chinese Academy of Sciences",CHN,Government
103,91,Beth Israel Deaconess Medical Center,USA,Health
104,92,CareGroup Healthcare System *,USA,Health
